Type,Function,Digit,Time(ns)
randomdigit,null,12,1.580000
randomdigit,null,13,1.590000
randomdigit,null,14,1.590000
randomdigit,null,15,1.590000
randomdigit,null,16,1.580000
randomdigit,null,17,1.580000
randomdigit,ostringstream,1,429.960000
randomdigit,ostringstream,2,431.360000
randomdigit,ostringstream,3,416.200000
randomdigit,ostringstream,4,418.310000
randomdigit,ostringstream,5,423.120000
randomdigit,ostringstream,6,427.010000
randomdigit,ostringstream,7,428.490000
randomdigit,ostringstream,8,431.590000
randomdigit,ostringstream,9,437.680000
randomdigit,ostringstream,10,462.610000
randomdigit,ostringstream,11,457.190000
randomdigit,ostringstream,12,460.760000
randomdigit,ostringstream,13,463.090000
randomdigit,ostringstream,14,465.440000
randomdigit,ostringstream,15,466.240000
randomdigit,ostringstream,16,465.170000
randomdigit,ostringstream,17,474.680000
randomdigit,sprintf,1,297.400000
randomdigit,sprintf,2,288.480000
randomdigit,sprintf,3,293.720000
randomdigit,sprintf,4,295.990000
randomdigit,sprintf,5,299.880000
randomdigit,sprintf,6,303.200000
randomdigit,sprintf,7,305.560000
randomdigit,sprintf,8,306.960000
randomdigit,sprintf,9,309.830000
randomdigit,sprintf,10,312.560000
randomdigit,sprintf,11,325.690000
randomdigit,sprintf,12,317.400000
randomdigit,sprintf,13,318.530000
randomdigit,sprintf,14,321.190000
randomdigit,sprintf,15,321.670000
randomdigit,sprintf,16,320.570000
randomdigit,sprintf,17,318.420000
randomdigit,xjb64,1,12.220000
randomdigit,xjb64,2,12.300000
randomdigit,xjb64,3,12.200000
randomdigit,xjb64,4,18.780000
randomdigit,xjb64,5,21.060000
randomdigit,xjb64,6,12.410000
randomdigit,xjb64,7,12.280000
randomdigit,xjb64,8,13.120000
randomdigit,xjb64,9,13.020000
randomdigit,xjb64,10,13.080000
randomdigit,xjb64,11,13.060000
randomdigit,xjb64,12,13.040000
randomdigit,xjb64,13,12.980000
randomdigit,xjb64,14,12.970000
randomdigit,xjb64,15,12.920000
randomdigit,xjb64,16,12.890000
randomdigit,xjb64,17,12.900000
