Type,Function,Digit,Time(ns)
randomdigit,ryu,1,45.610000
randomdigit,ryu,2,47.710000
randomdigit,ryu,3,45.460000
randomdigit,ryu,4,44.510000
randomdigit,ryu,5,42.830000
randomdigit,ryu,6,42.030000
randomdigit,ryu,7,38.380000
randomdigit,ryu,8,38.590000
randomdigit,ryu,9,35.610000
randomdigit,ryu,10,36.710000
randomdigit,ryu,11,33.760000
randomdigit,ryu,12,32.690000
randomdigit,ryu,13,31.480000
randomdigit,ryu,14,30.300000
randomdigit,ryu,15,29.340000
randomdigit,ryu,16,28.380000
randomdigit,ryu,17,28.380000
randomdigit,doubleconv,1,59.990000
randomdigit,doubleconv,2,71.510000
randomdigit,doubleconv,3,76.680000
randomdigit,doubleconv,4,77.280000
randomdigit,doubleconv,5,79.340000
randomdigit,doubleconv,6,82.030000
randomdigit,doubleconv,7,84.190000
randomdigit,doubleconv,8,84.680000
randomdigit,doubleconv,9,85.520000
randomdigit,doubleconv,10,82.980000
randomdigit,doubleconv,11,82.550000
randomdigit,doubleconv,12,84.880000
randomdigit,doubleconv,13,86.280000
randomdigit,doubleconv,14,88.820000
randomdigit,doubleconv,15,91.960000
randomdigit,doubleconv,16,95.560000
randomdigit,doubleconv,17,100.980000
randomdigit,fmt,1,18.790000
randomdigit,fmt,2,22.380000
randomdigit,fmt,3,21.180000
randomdigit,fmt,4,21.500000
randomdigit,fmt,5,19.820000
randomdigit,fmt,6,21.210000
randomdigit,fmt,7,19.520000
randomdigit,fmt,8,21.750000
randomdigit,fmt,9,22.970000
randomdigit,fmt,10,24.960000
randomdigit,fmt,11,22.840000
randomdigit,fmt,12,24.470000
randomdigit,fmt,13,22.110000
randomdigit,fmt,14,23.690000
randomdigit,fmt,15,21.750000
randomdigit,fmt,16,23.480000
randomdigit,fmt,17,27.700000
randomdigit,dragonbox,1,18.530000
randomdigit,dragonbox,2,19.810000
randomdigit,dragonbox,3,20.220000
randomdigit,dragonbox,4,20.420000
randomdigit,dragonbox,5,19.910000
randomdigit,dragonbox,6,21.200000
randomdigit,dragonbox,7,20.100000
randomdigit,dragonbox,8,20.850000
randomdigit,dragonbox,9,20.160000
randomdigit,dragonbox,10,20.770000
randomdigit,dragonbox,11,21.380000
randomdigit,dragonbox,12,21.540000
randomdigit,dragonbox,13,20.460000
randomdigit,dragonbox,14,21.470000
randomdigit,dragonbox,15,20.880000
randomdigit,dragonbox,16,21.630000
randomdigit,dragonbox,17,24.100000
randomdigit,fpconv,1,49.900000
randomdigit,fpconv,2,53.240000
randomdigit,fpconv,3,54.670000
randomdigit,fpconv,4,56.680000
randomdigit,fpconv,5,57.400000
randomdigit,fpconv,6,58.730000
randomdigit,fpconv,7,60.140000
randomdigit,fpconv,8,61.730000
randomdigit,fpconv,9,61.970000
randomdigit,fpconv,10,63.240000
randomdigit,fpconv,11,64.510000
randomdigit,fpconv,12,66.580000
randomdigit,fpconv,13,68.040000
randomdigit,fpconv,14,69.030000
randomdigit,fpconv,15,70.740000
randomdigit,fpconv,16,72.600000
randomdigit,fpconv,17,83.410000
randomdigit,null,1,0.930000
randomdigit,null,2,0.930000
randomdigit,null,3,0.930000
randomdigit,null,4,0.930000
randomdigit,null,5,0.930000
randomdigit,null,6,0.930000
randomdigit,null,7,0.930000
randomdigit,null,8,0.930000
randomdigit,null,9,0.960000
randomdigit,null,10,0.960000
randomdigit,null,11,0.940000
randomdigit,null,12,0.930000
randomdigit,null,13,0.930000
randomdigit,null,14,0.920000
randomdigit,null,15,0.930000
randomdigit,null,16,0.950000
randomdigit,null,17,0.960000
randomdigit,ostringstream,1,789.560000
randomdigit,ostringstream,2,804.200000
randomdigit,ostringstream,3,818.340000
randomdigit,ostringstream,4,853.520000
randomdigit,ostringstream,5,858.460000
randomdigit,ostringstream,6,852.100000
randomdigit,ostringstream,7,861.550000
randomdigit,ostringstream,8,870.480000
randomdigit,ostringstream,9,874.770000
randomdigit,ostringstream,10,881.450000
randomdigit,ostringstream,11,889.290000
randomdigit,ostringstream,12,901.550000
randomdigit,ostringstream,13,916.050000
randomdigit,ostringstream,14,923.910000
randomdigit,ostringstream,15,926.150000
randomdigit,ostringstream,16,935.530000
randomdigit,ostringstream,17,928.720000
randomdigit,sprintf,1,649.540000
randomdigit,sprintf,2,668.000000
randomdigit,sprintf,3,682.500000
randomdigit,sprintf,4,696.720000
randomdigit,sprintf,5,703.570000
randomdigit,sprintf,6,715.670000
randomdigit,sprintf,7,724.800000
randomdigit,sprintf,8,740.380000
randomdigit,sprintf,9,738.030000
randomdigit,sprintf,10,744.880000
randomdigit,sprintf,11,753.120000
randomdigit,sprintf,12,764.760000
randomdigit,sprintf,13,776.470000
randomdigit,sprintf,14,784.690000
randomdigit,sprintf,15,787.610000
randomdigit,sprintf,16,790.810000
randomdigit,sprintf,17,780.720000
randomdigit,schubfach,1,20.300000
randomdigit,schubfach,2,24.080000
randomdigit,schubfach,3,23.570000
randomdigit,schubfach,4,23.270000
randomdigit,schubfach,5,23.000000
randomdigit,schubfach,6,22.830000
randomdigit,schubfach,7,22.590000
randomdigit,schubfach,8,22.390000
randomdigit,schubfach,9,22.260000
randomdigit,schubfach,10,24.330000
randomdigit,schubfach,11,26.000000
randomdigit,schubfach,12,25.810000
randomdigit,schubfach,13,25.860000
randomdigit,schubfach,14,25.490000
randomdigit,schubfach,15,25.400000
randomdigit,schubfach,16,27.030000
randomdigit,schubfach,17,33.230000
