Type,Function,Digit,Time(ns)
randomdigit,uscale,4,28.227448
randomdigit,uscale,5,28.270196
randomdigit,uscale,6,28.148731
randomdigit,uscale,7,28.342104
randomdigit,uscale,8,29.330293
randomdigit,uscale,9,29.297474
randomdigit,uscale,10,29.513987
randomdigit,uscale,11,29.482028
randomdigit,uscale,12,29.659013
randomdigit,uscale,13,30.062550
randomdigit,uscale,14,29.570296
randomdigit,uscale,15,30.097409
randomdigit,uscale,16,28.890718
randomdigit,uscale,17,31.426057
randomdigit,xjb64,1,19.254038
randomdigit,xjb64,2,19.302337
randomdigit,xjb64,3,19.341225
randomdigit,xjb64,4,19.475062
randomdigit,xjb64,5,19.451132
randomdigit,xjb64,6,19.474371
randomdigit,xjb64,7,19.433482
randomdigit,xjb64,8,19.448392
randomdigit,xjb64,9,19.458561
randomdigit,xjb64,10,19.485941
randomdigit,xjb64,11,19.492611
randomdigit,xjb64,12,19.439362
randomdigit,xjb64,13,19.438922
randomdigit,xjb64,14,19.580408
randomdigit,xjb64,15,19.445613
randomdigit,xjb64,16,19.402954
randomdigit,xjb64,17,19.383394
randomdigit,yy,1,19.504110
randomdigit,yy,2,19.524300
randomdigit,yy,3,19.542980
randomdigit,yy,4,19.601178
randomdigit,yy,5,20.711793
randomdigit,yy,6,21.030972
randomdigit,yy,7,20.736972
randomdigit,yy,8,20.692283
randomdigit,yy,9,21.502068
randomdigit,yy,10,22.330311
randomdigit,yy,11,22.029912
randomdigit,yy,12,22.002023
randomdigit,yy,13,23.337580
randomdigit,yy,14,23.466307
randomdigit,yy,15,22.951403
randomdigit,yy,16,22.950882
randomdigit,yy,17,22.955612
randomdigit,zmij,1,17.327369
randomdigit,zmij,2,17.337728
randomdigit,zmij,3,17.333328
randomdigit,zmij,4,17.295159
randomdigit,zmij,5,17.327749
randomdigit,zmij,6,17.312989
randomdigit,zmij,7,17.316788
randomdigit,zmij,8,17.315539
randomdigit,zmij,9,17.296239
randomdigit,zmij,10,17.419486
randomdigit,zmij,11,17.450245
randomdigit,zmij,12,17.391207
randomdigit,zmij,13,17.360277
randomdigit,zmij,14,17.420186
randomdigit,zmij,15,17.354678
randomdigit,zmij,16,17.370867
randomdigit,zmij,17,17.367198
