Type,Function,Digit,Time(ns)
randomdigit,xjb64,4,10.511334
randomdigit,xjb64,5,10.496500
randomdigit,xjb64,6,10.496458
randomdigit,xjb64,7,10.491209
randomdigit,xjb64,8,10.502792
randomdigit,xjb64,9,10.496459
randomdigit,xjb64,10,10.500500
randomdigit,xjb64,11,10.484500
randomdigit,xjb64,12,10.501083
randomdigit,xjb64,13,10.512667
randomdigit,xjb64,14,10.502834
randomdigit,xjb64,15,10.503542
randomdigit,xjb64,16,10.502584
randomdigit,xjb64,17,10.499875
randomdigit,yy,1,12.007667
randomdigit,yy,2,12.018833
randomdigit,yy,3,12.038041
randomdigit,yy,4,12.010000
randomdigit,yy,5,14.646834
randomdigit,yy,6,14.113708
randomdigit,yy,7,12.955583
randomdigit,yy,8,12.861000
randomdigit,yy,9,15.024417
randomdigit,yy,10,14.903542
randomdigit,yy,11,14.023125
randomdigit,yy,12,13.930916
randomdigit,yy,13,16.320417
randomdigit,yy,14,15.906834
randomdigit,yy,15,14.922708
randomdigit,yy,16,14.840791
randomdigit,yy,17,14.840625
randomdigit,zmij,1,8.903750
randomdigit,zmij,2,8.888334
randomdigit,zmij,3,8.892750
randomdigit,zmij,4,8.881125
randomdigit,zmij,5,8.899542
randomdigit,zmij,6,8.883042
randomdigit,zmij,7,8.891584
randomdigit,zmij,8,8.896459
randomdigit,zmij,9,8.896625
randomdigit,zmij,10,8.898375
randomdigit,zmij,11,8.885625
randomdigit,zmij,12,8.882875
randomdigit,zmij,13,8.895167
randomdigit,zmij,14,8.897458
randomdigit,zmij,15,8.894333
randomdigit,zmij,16,8.905250
randomdigit,zmij,17,8.915250
