Type,Function,Digit,Time(ns)
randomdigit,xjb64,4,10.490000
randomdigit,xjb64,5,10.510000
randomdigit,xjb64,6,10.530000
randomdigit,xjb64,7,10.480000
randomdigit,xjb64,8,10.480000
randomdigit,xjb64,9,10.480000
randomdigit,xjb64,10,10.490000
randomdigit,xjb64,11,10.550000
randomdigit,xjb64,12,10.490000
randomdigit,xjb64,13,10.490000
randomdigit,xjb64,14,10.480000
randomdigit,xjb64,15,10.490000
randomdigit,xjb64,16,10.490000
randomdigit,xjb64,17,10.510000
randomdigit,yy,1,12.050000
randomdigit,yy,2,12.040000
randomdigit,yy,3,12.070000
randomdigit,yy,4,12.410000
randomdigit,yy,5,14.750000
randomdigit,yy,6,14.300000
randomdigit,yy,7,13.010000
randomdigit,yy,8,12.930000
randomdigit,yy,9,15.180000
randomdigit,yy,10,14.980000
randomdigit,yy,11,14.060000
randomdigit,yy,12,13.950000
randomdigit,yy,13,16.530000
randomdigit,yy,14,16.120000
randomdigit,yy,15,14.840000
randomdigit,yy,16,14.830000
randomdigit,yy,17,14.840000
randomdigit,zmij,1,10.180000
randomdigit,zmij,2,10.170000
randomdigit,zmij,3,10.170000
randomdigit,zmij,4,10.170000
randomdigit,zmij,5,10.180000
randomdigit,zmij,6,10.290000
randomdigit,zmij,7,10.480000
randomdigit,zmij,8,10.190000
randomdigit,zmij,9,10.200000
randomdigit,zmij,10,10.170000
randomdigit,zmij,11,10.170000
randomdigit,zmij,12,10.190000
randomdigit,zmij,13,10.180000
randomdigit,zmij,14,10.180000
randomdigit,zmij,15,10.200000
randomdigit,zmij,16,10.180000
randomdigit,zmij,17,10.190000
