Type,Method,Digit,Time(ns)
randomdigit,uscale,4,27.185875
randomdigit,uscale,5,27.453500
randomdigit,uscale,6,28.568958
randomdigit,uscale,7,28.260458
randomdigit,uscale,8,28.354542
randomdigit,uscale,9,28.779250
randomdigit,uscale,10,32.815167
randomdigit,uscale,11,29.477750
randomdigit,uscale,12,29.688833
randomdigit,uscale,13,30.216083
randomdigit,uscale,14,29.858334
randomdigit,uscale,15,31.355375
randomdigit,uscale,16,25.304875
randomdigit,uscale,17,28.334417
randomdigit,xjb64,1,6.911208
randomdigit,xjb64,2,6.915208
randomdigit,xjb64,3,6.901458
randomdigit,xjb64,4,6.923000
randomdigit,xjb64,5,6.941333
randomdigit,xjb64,6,6.915292
randomdigit,xjb64,7,6.897375
randomdigit,xjb64,8,6.893959
randomdigit,xjb64,9,6.943542
randomdigit,xjb64,10,6.904541
randomdigit,xjb64,11,6.922041
randomdigit,xjb64,12,6.907750
randomdigit,xjb64,13,6.937209
randomdigit,xjb64,14,6.905334
randomdigit,xjb64,15,6.918791
randomdigit,xjb64,16,6.906666
randomdigit,xjb64,17,6.911583
randomdigit,yy,1,11.598041
randomdigit,yy,2,11.618792
randomdigit,yy,3,11.614167
randomdigit,yy,4,11.593625
randomdigit,yy,5,14.178375
randomdigit,yy,6,13.563250
randomdigit,yy,7,12.427375
randomdigit,yy,8,12.328917
randomdigit,yy,9,14.519292
randomdigit,yy,10,13.953667
randomdigit,yy,11,13.032416
randomdigit,yy,12,12.945417
randomdigit,yy,13,15.267125
randomdigit,yy,14,15.432000
randomdigit,yy,15,14.471667
randomdigit,yy,16,14.428709
randomdigit,yy,17,14.413042
randomdigit,zmij,1,6.543209
randomdigit,zmij,2,6.523250
randomdigit,zmij,3,6.512208
randomdigit,zmij,4,6.520417
randomdigit,zmij,5,6.532375
randomdigit,zmij,6,6.515125
randomdigit,zmij,7,6.499458
randomdigit,zmij,8,6.530416
randomdigit,zmij,9,6.489542
randomdigit,zmij,10,6.513125
randomdigit,zmij,11,6.501959
randomdigit,zmij,12,6.516292
randomdigit,zmij,13,6.511042
randomdigit,zmij,14,6.511583
randomdigit,zmij,15,6.475584
randomdigit,zmij,16,6.496833
randomdigit,zmij,17,6.482917
